Stock Name,Broker Name,AvgHldDays,Qty,Inv Price,Tdys PNL Val,DayChange pct,DayChngVal,LTP,Holding Value,Market Value,Total PNL Val,Total PNL pct,52WkHigh,52WkLow,52WkLtppct,Beta,PE,Missed
ASHOKLEY,Sharekhan,,330,78.66,627,0.015933,1.9,121.15,25957.8,39979.5,14021.7,54.0172896,153.5,87.25,-21.07491857,1.3154,0,10675.5
ASIANPAINT,Sharekhan,,19,2266.66,-233.7,-0.004048,-12.3,3026,43066.54,57494,14427.46,33.50039265,3505,2260,-13.66619116,0.5486,89.52,9101
AXISBANK,Sharekhan,,27,574.1,456.3,0.025486,16.9,680,15500.7,18360,2859.3,18.44626372,866.9,568.4,-21.55958011,1.5001,20.3,5046.3
BHARTIARTL,Sharekhan,,26,391.55,14.3,0.0007884,0.55,698.15,10180.3,18151.9,7971.6,78.30417571,781.8,471.3,-10.69966743,0.7328,0,2174.9
HINDUNILVR,Sharekhan,,12,1608.09,255.6,0.009235,21.3,2327.8,19297.08,27933.6,8636.52,44.7555796,2859.3,2120,-18.58846571,0.2494,64.54,6378
ICICIBANK,Sharekhan,,38,440.96,691.6,0.02565,18.2,727.75,16756.48,27654.5,10898.02,65.03764514,867,488.2,-16.06113033,1.3311,23.1,5291.5
INFY,Sharekhan,,42,624.6,659.4,0.009261,15.7,1711,26233.2,71862,45628.8,173.9353186,1848,1136,-7.413419913,0.5991,34.37,5754
JUBLFOOD,Sharekhan,,14,3040.75,529.9,0.010212,37.85,3744.4,42570.5,52421.6,9851.1,23.14067253,4590,2510,-18.42265795,0.9742,116.76,11838.4
RELIANCE,Sharekhan,,18,1394.7,549,0.01291,30.5,2393.1,25104.6,43075.8,17971.2,71.58528716,2751.35,1830,-13.02088066,1.1488,29.5,6448.5
SBIN,Sharekhan,,55,210.92,434.5,0.016978,7.9,473.2,11600.6,26026,14425.4,124.3504646,542.3,248.25,-12.74202471,1.4879,14.49,3800.5
SUNPHARMA,Sharekhan,,64,506.97,368,0.0078,5.75,742.9,32446.08,47545.6,15099.52,46.53727045,851,539.7,-12.7027027,0.6539,28.42,6918.4
TATAMOTORS,Sharekhan,,140,227.62,1008,0.015411,7.2,474.4,31866.8,66416,34549.2,108.417538,536.7,156.7,-11.60797466,1.7322,0,8722
TATASTEEL,Sharekhan,,30,1427.4,757.5,0.022772,25.25,1134.05,42822,34021.5,-8800.5,-20.55135211,1534.5,585,-26.09644835,1.3211,3.05,12013.5
TCS,Sharekhan,,8,1813.92,252.8,0.008936,31.6,3568,14511.36,28544,14032.64,96.7010673,3989.9,2706.15,-10.57419985,0.6214,94.93,3375.2
TITAN,Sharekhan,,11,1507.59,332.75,0.013005,30.25,2356.25,16583.49,25918.75,9335.26,56.29249332,2678.1,1396.25,-12.01784847,0.8951,118.65,3540.35
WIPRO,Sharekhan,,45,295.46,211.5,0.007526,4.7,629.2,13295.7,28314,15018.3,112.9560685,739.85,347.1,-14.95573427,0.3533,28.54,4979.25
YESBANK,Sharekhan,,285,51.58,242.25,0.06746,0.85,13.45,14700.3,3833.25,-10867.05,-73.92400155,20.75,10.5,-35.18072289,1.3723,0,2080.5
AXISBANK,Zerodha,,20,755.4,338,0.025486,16.9,680,15108,13600,-1508,-9.981466773,866.9,568.4,-21.55958011,1.5001,20.3,3738
BRIGADE,Zerodha,,50,334.7,340,0.013858,6.8,497.5,16735,24875,8140,48.64057365,528.8,219.8,-5.919062027,1.4359,0,1565
GRAPHITE,Zerodha,,37,636.48,0,0,0,415.25,23549.76,15364.25,-8185.51,-34.75835847,815.9,258.35,-49.10528251,1.895,22.23,14824.05
HDFCBANK,Zerodha,,14,1098.23,210.7,0.010008,15.05,1518.85,15375.22,21263.9,5888.68,38.29980969,1725,1342,-11.95072464,1.1001,24.25,2886.1
HDFCLIFE,Zerodha,,15,669,135,0.013154,9,693.2,10035,10398,363,3.617339312,775.65,617.4,-10.62979437,0.8466,122.8,1236.75
IBREALEST,Zerodha,,100,160.01,390,0.023291,3.9,171.35,16001,17135,1134,7.087057059,195.9,63.1,-12.53190403,2.2146,40.62,2455
ICICIBANK,Zerodha,,23,643.8,418.6,0.02565,18.2,727.75,14807.4,16738.25,1930.85,13.0397639,867,488.2,-16.06113033,1.3311,,3202.75
LICHSGFIN,Zerodha,,35,306.94,169.75,0.012807,4.85,383.55,10742.9,13424.25,2681.35,24.95927543,542.45,334.5,-29.2930224,,,5561.5
LT,Zerodha,,10,1814.27,66,0.003702,6.6,1789.25,18142.7,17892.5,-250.2,-1.379067063,1981.75,1144,-9.713636937,,,1925
